Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kuwait,1.03929E+11,1.317E+11,1.46201E+11,1.50837E+11,1.45514E+11,1.06646E+11,1.02938E+11,1.1791E+11,1.29708E+11,1.29183E+11,,
Kyrgyz Republic,3673209966,4541967184,5553613412,5598239531,5721254369,5058924142,5387624796,5946603837,6768419468,6423889939,6122247982,5963757454
Lao PDR,4929347018,6049699853,7520362723,9005963649,10211442555,11176611404,12348136493,12957711600,13926946477,14119009461,14168719586,13698049433
Latvia,18136251535,20520427410,20948737665,22729128695,23799294952,20674751442,21600405608,23632042537,26501666605,26483146825,26886528614,30602025360
Lebanon,31804848607,32446514358,35657223681,38060995378,38805488800,40518060273,41663834053,43756192945,43889389012,40398925324,24191280126,17307089418
Lesotho,2454119116,2550468409,2369381730,2243816053,2272235269,2221717709,1979283441,2166425760,2413721569,2330810140,2073575760,2346092294
Liberia,1100515985,1396330547,1439170064,1670470343,1587463824,1766498356,1769150398,1719492453,1913204251,1779130985,1689347250,1783546450
Libya,55495947937,41647853852,65418044352,57797465316,49358922228,43432275738,44469299617,58846532781,64611415552,58527187760,45053515007,33096515120
Liechtenstein,,,,,,,,,,,,
Lithuania,31525266454,36448149730,35893298337,39313460944,41546942348,34402653749,35778730613,39973488659,45383302057,45983380104,47815760849,55896758252
Luxembourg,32043330391,35685289064,39037926025,39341116046,42190108352,31743520644,34025585999,39389565966,42251475535,38530629916,41945173744,49784930446
"Macao SAR, China",,,,,,,,,,,,
Madagascar,8080948176,9387896471,9136108380,9952824530,10167160447,9027729504,9457470707,10877262140,11710167965,12018928346,11103281160,12500340516
Malawi,5490727175,6419495340,4579247457,4261246195,4673215312,5050420438,4418846375,7603110541,8630240624,9748765626,10877136149,11287506854
Malaysia,1.83598E+11,2.19227E+11,2.28452E+11,2.35906E+11,2.42251E+11,2.19218E+11,2.2015E+11,2.29287E+11,2.52387E+11,2.62142E+11,2.48137E+11,2.64144E+11
Maldives,1993083921,2181255462,2303143755,2586372716,2956002349,3319083069,3529846409,3845499713,4209758970,4423158732,3013379585,4329718253
