Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IDA total,,,,,,,,,,,,
India,45,48,49,56,57,58,60,57,58,61,64,74
Indonesia,86.36213684,108.0318604,106.9016342,103.3793182,103.0588379,97.16175842,107.5287094,111.5139618,111.9118729,119.4984436,133.2563477,160.6417694
"Iran, Islamic Rep.",436.1362915,518.84021,513.454834,408.3304443,375.284668,384.2598572,447.1392517,466.9943237,478.3919067,378.4741821,338.2497253,392.5414429
Iraq,143.5260315,160.8146668,173.4031677,185.7355652,178.0239563,148.3005981,198.706192,195.8237305,231.0033112,239.5789185,245.4804688,248.923111
Ireland,5133.455078,5545.76416,5210.36377,5313.709473,5316.269531,4575.944824,4726.312988,5010.256348,5187.057617,5462.730957,6098.266602,6764.258789
Isle of Man,,,,,,,,,,,,
Israel,2240,2446,2410,2681,2816,2661,2801,3094,3220,3354,3637,4339
Italy,3218,3392,3086,3149,3154,2676,2700,2810,3003,2911,3062,3350
Jamaica,256.0642395,275.5392456,262.0988159,254.8423462,257.846344,285.59729,286.3452148,324.2245178,333.8786926,343.0619202,324.4832153,372.4513855
Japan,4074,5107,5235,4358,4122,3755,4200,4148,4288,4463,4436,4347
Jordan,319.841095,338.3460999,342.9404297,320.8673096,306.806427,303.2345276,279.2980652,289.5798035,289.5386047,294.18927,284.5343933,299.0723572
Kazakhstan,244,297,369,363,374,314,260,278,273,270,338,403
Kenya,58.93074799,57.18780136,64.72195435,67.89151001,73.19489288,71.3065033,74.26567078,66.80448151,75.6592865,86.06783295,86.67868805,94.67254639
Kiribati,134,143,147,155,156,118,158,179,208,177,239,262
"Korea, Dem. People's Rep.",,,,,,,,,,,,
"Korea, Rep.",1363.560913,1507.556641,1553.328247,1682.763916,1880.442017,1894.347534,2008.098267,2220.564209,2501.139648,2605.993408,2648.224121,3260.44873
Kosovo,,,,,,,,,,,,
Kuwait,1050.421265,1143.137939,1196.207153,1188.282837,1260.875244,1235.618896,1278.632446,1361.482788,1660.98645,1643.569702,1542.322632,1860.783691
Kyrgyz Republic,61,79,100,105,95,81,73,78,67,63,64,73
Lao PDR,34.58347702,27.16216469,32.51623917,43.56784058,45.61304092,52.15144348,54.51382828,61.60005188,57.35622025,67.81835938,52.15844727,68.87698364
Late-demographic dividend,327.0571829,387.5289642,415.6257454,454.9451286,477.3470251,449.5103928,453.400424,508.3503888,552.4184976,578.3725993,600.9629583,688.2974463
Latin America & Caribbean,635.7491382,723.0914605,722.1256656,754.8300927,759.8048746,678.2960929,650.2161485,734.8991419,674.9370691,657.6646639,597.9605585,656.2994328
Latin America & Caribbean (excluding high income),625.2315933,711.2260388,706.2234081,735.5424317,741.0825301,655.883608,623.9496592,704.7540024,664.2132465,648.7263088,584.6452604,637.7783429
Latin America & the Caribbean (IDA & IBRD countries),635.7658781,723.1702247,724.0487093,755.1831651,757.1584067,671.6387831,642.9835018,729.2578257,668.7363965,650.4805849,586.7067507,655.4667561
Latvia,689,765,746,807,857,776,875,933,1101,1183,1313,1898
Least developed countries: UN classification,33.45145097,36.89814259,38.6157678,42.37548285,44.41347473,43.21608971,42.72146123,43.04570501,42.03248406,43.04704664,43.95882348,47.12790362
Lebanon,572.420166,647.1702271,595.3667603,583.4765015,576.6546021,578.645813,647.5651856,677.3743897,744.6105957,782.2052002,522.420105,307.1348572
Lesotho,87.4557724,117.3472366,124.8553085,130.4420776,120.4721375,104.4047089,90.88587189,115.2077866,130.5711365,130.4407349,96.7264328,114.7088165
Liberia,50.63946533,54.34541321,50.35652542,48.74785614,59.98974228,70.18363953,68.4992981,72.50897217,69.10813904,52.02645493,101.2913055,112.2704468
Libya,380.9290161,312.8485413,..,..,..,..,..,..,..,..,..,..
Liechtenstein,,,,,,,,,,,,
Lithuania,805,925,897,959,1021,920,989,1083,1249,1370,1520,1859
Low & middle income,167.5510267,194.024062,205.9214859,221.1037708,228.4719497,223.2127128,222.1314412,238.8039689,250.5014848,257.0576555,260.7397803,294.4743997
Low income,35.55024912,36.44003036,36.81899466,39.15024235,40.86819808,38.83629122,36.84033766,34.7203417,32.53224238,33.36981966,35.33947904,36.50028656
Lower middle income,56.28435217,61.51556289,65.00884708,71.10161294,73.3700101,73.59733472,73.27225537,71.26191915,72.92900467,76.6750687,78.84273533,90.24569445
Luxembourg,7460,7175,6029,6357,6547,5422,5475,5713,6227,6222,6786,7636
"Macao SAR, China",,,,,,,,,,,,
